Benchmark,avgDegree,concurrency,dampingFactor,nodeCountIterationCombinations,orientation,tolerance,Mode,Cnt,Score,Error,Units
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,1M;5,Undirected,1e-32,avgt,10,13358.587,925.016,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,1M;10,Undirected,1e-32,avgt,10,33807.017,4874.496,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,1M;15,Undirected,1e-32,avgt,10,49164.646,5005.535,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,0.1M;20,Undirected,1e-32,avgt,10,3016.524,161.710,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,0.5M;20,Undirected,1e-32,avgt,10,17413.983,2514.698,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,1M;20,Undirected,1e-32,avgt,10,45011.289,2125.435,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,1M;5,Undirected,1e-32,avgt,10,10641.743,703.892,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,1M;10,Undirected,1e-32,avgt,10,23420.909,1054.211,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,1M;15,Undirected,1e-32,avgt,10,32610.807,2586.453,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,0.1M;20,Undirected,1e-32,avgt,10,221.051,2.331,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,0.5M;20,Undirected,1e-32,avgt,10,1855.901,124.584,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,1M;20,Undirected,1e-32,avgt,10,4144.779,211.973,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,5M;20,Undirected,1e-32,avgt,10,33438.939,12446.965,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,1M;5,Undirected,1e-32,avgt,10,2349.958,264.732,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,1M;10,Undirected,1e-32,avgt,10,3018.615,306.349,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,1M;15,Undirected,1e-32,avgt,10,3654.013,268.412,ms/op

