Benchmark,avgDegree,concurrency,dampingFactor,nodeCountIterationCombinations,orientation,tolerance,Mode,Cnt,Score,Error,Units
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,0.5M;20,Undirected,1e-32,avgt,10,1635.480,217.817,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,1M;20,Undirected,1e-32,avgt,10,2578.434,72.298,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,5M;20,Undirected,1e-32,avgt,10,14229.397,414.446,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,1M;5,Undirected,1e-32,avgt,10,682.909,24.005,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,1M;10,Undirected,1e-32,avgt,10,1326.010,44.052,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,1M;15,Undirected,1e-32,avgt,10,1919.193,50.393,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,0.1M;20,Undirected,1e-32,avgt,10,563.972,41.784,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,0.5M;20,Undirected,1e-32,avgt,10,2018.036,83.458,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,1M;20,Undirected,1e-32,avgt,10,3489.313,211.785,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,5M;20,Undirected,1e-32,avgt,10,15868.687,1304.575,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,1M;5,Undirected,1e-32,avgt,10,1954.677,78.009,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,1M;10,Undirected,1e-32,avgt,10,2270.587,213.722,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,1M;15,Undirected,1e-32,avgt,10,2897.389,367.953,ms/op
